X,Y
227.0,-294.8
227.07241820000002,-294.7820322
227.1456656,-294.76413759999997
227.2197314,-294.74632940000004
227.29460479999997,-294.7286208
227.37027499999996,-294.71102499999995
227.44673119999996,-294.6935552
227.5239626,-294.67622459999995
227.6019584,-294.6590464
227.68070780000005,-294.6420338
227.76020000000005,-294.6252
227.84042420000003,-294.60855819999995
227.9213696,-294.5921216
228.00302539999998,-294.57590339999996
228.0853808,-294.5599168
228.16842499999996,-294.544175
228.2521472,-294.52869119999997
228.3365366,-294.5134786
228.4215824,-294.49855040000006
228.50727380000004,-294.4839198
228.59360000000007,-294.46960000000007
228.68055020000003,-294.45560420000004
228.76811360000002,-294.4419456
228.8562794,-294.4286374
228.9450368,-294.41569280000004
229.03437499999998,-294.403125
229.12428319999998,-294.3909472
229.21475059999997,-294.37917259999995
229.3057664,-294.3678144
229.39731979999993,-294.3568858
229.48939999999996,-294.34639999999996
229.58199619999996,-294.3363702
229.6750976,-294.3268096
229.76869339999996,-294.31773139999996
229.86277279999993,-294.30914879999995
229.957325,-294.30107499999997
230.05233920000003,-294.29352320000004
230.14780460000003,-294.2865066
230.24371039999997,-294.2800384
230.3400458,-294.2741318
230.43680000000006,-294.26880000000006
230.53396220000005,-294.2640562
230.6315216,-294.25991360000006
230.7294674,-294.25638540000006
230.8277888,-294.2534848
230.92647500000004,-294.2512250000001
231.0255152,-294.24961920000004
231.1248986,-294.2486806
231.2246144,-294.2484224
231.32465179999997,-294.2488578
231.42499999999998,-294.25
231.52564819999998,-294.2518622
231.6265856,-294.2544576
231.7278014,-294.25779939999995
231.82928479999998,-294.2619008
231.931025,-294.266775
232.03301120000003,-294.2724352
232.1352326,-294.2788946
232.2376784,-294.2861664
232.3403378,-294.29426379999995
232.4432,-294.3032
232.54625419999996,-294.31298819999995
232.64948959999998,-294.3236416
232.75289539999997,-294.3351734
232.8564608,-294.3475968
232.960175,-294.360925
233.0640272,-294.3751712
233.1680066,-294.3903486
233.2721024,-294.4064704
233.3763038,-294.4235498
233.48059999999998,-294.4416
233.5849802,-294.4606342
233.68943359999997,-294.4806656
233.79394939999997,-294.5017074
233.89851679999998,-294.5237728
234.003125,-294.546875
234.1077632,-294.5710272
234.21242059999997,-294.5962426
234.3170864,-294.6225344
234.4217498,-294.64991580000003
234.52640000000002,-294.6784
234.63102619999998,-294.70800019999996
234.73561759999998,-294.73872959999994
234.8401634,-294.77060140000003
234.94465279999997,-294.80362879999996
235.04907499999996,-294.83782499999995
235.15341919999997,-294.8732032
235.25767459999997,-294.9097766
235.36183039999997,-294.9475584
235.46587580000002,-294.9865618
235.5698,-295.0268
235.67359219999997,-295.0682862
235.7772416,-295.1110336
235.8807374,-295.1550554
235.9840688,-295.2003648
236.08722500000002,-295.246975
236.19019519999998,-295.29489920000003
236.2929686,-295.3441506
236.3955344,-295.3947424
236.49788180000002,-295.44668780000006
236.6,-295.5
236.6,-295.5
236.65373240000002,-295.53006150000004
236.70693919999997,-295.560252
236.75963480000001,-295.5905805
236.81183359999994,-295.621056
236.86355,-295.6516874999999
236.91479839999994,-295.682484
236.96559319999997,-295.71345449999995
237.01594880000002,-295.744608
237.06587960000002,-295.77595350000007
237.1154,-295.8075
237.1645244,-295.8392565
237.21326720000002,-295.87123199999996
237.26164279999998,-295.90343549999994
237.3096656,-295.935876
237.35734999999997,-295.96856249999996
237.40471039999997,-296.001504
237.45176119999996,-296.03470949999996
237.4985168,-296.068188
237.54499160000003,-296.10194850000005
237.59120000000007,-296.13600000000014
237.6371564,-296.1703515
237.6828752,-296.205012
237.7283708,-296.23999050000003
237.7736576,-296.275296
237.81875000000002,-296.31093749999997
237.86366239999998,-296.346924
237.90840919999997,-296.38326449999994
237.9530048,-296.419968
237.99746359999995,-296.45704349999994
238.04179999999997,-296.4944999999999
238.08602839999995,-296.53234649999996
238.13016319999997,-296.570592
238.17421879999995,-296.60924549999993
238.21820959999994,-296.64831599999997
238.26215,-296.68781249999995
238.30605440000002,-296.72774400000003
238.3499372,-296.7681195
238.3938128,-296.808948
238.43769559999998,-296.8502385
238.48160000000004,-296.892
238.52554040000004,-296.93424150000004
238.56953120000003,-296.97697200000005
238.61358680000004,-297.02020050000004
238.65772160000003,-297.063936
238.70195000000004,-297.10818750000004
238.74628640000003,-297.152964
238.79074519999998,-297.1982745
238.8353408,-297.24412800000005
238.8800876,-297.2905335
238.925,-297.3375
238.9700924,-297.3850365
239.0153792,-297.43315200000006
239.06087480000002,-297.4818555
239.10659359999997,-297.53115599999995
239.15255,-297.58106250000003
239.19875839999997,-297.631584
239.2452332,-297.6827295
239.2919888,-297.734508
239.33903959999998,-297.7869285
239.38640000000004,-297.84000000000003
239.4340844,-297.8937315
239.4821072,-297.948132
239.53048280000002,-298.00321049999997
239.57922560000003,-298.05897600000003
239.62835,-298.1154375
239.67787040000002,-298.17260400000004
239.7278012,-298.2304845
239.77815679999998,-298.289088
239.82895159999998,-298.34842349999997
239.8802,-298.4085
239.93191639999998,-298.4693265
239.98411519999996,-298.530912
240.03681079999996,-298.5932655
240.09001759999998,-298.65639600000003
240.14374999999998,-298.7203125
240.19802239999999,-298.785024
240.25284919999996,-298.85053949999997
240.3082448,-298.916868
240.3642236,-298.98401850000005
240.4208,-299.052
240.47798839999996,-299.12082150000003
240.53580319999998,-299.190492
240.59425879999998,-299.26102050000003
240.65336959999996,-299.33241599999997
240.71314999999996,-299.4046875
240.77361439999999,-299.477844
240.83477719999996,-299.5518945
240.89665279999997,-299.626848
240.9592556,-299.7027135
241.0226,-299.77950000000004
