X,Y
339.4,-364.2
339.1599999,-364.38599999999997
338.91999919999995,-364.57199999999995
338.67999729999997,-364.75800000000004
338.4399935999999,-364.9439999999999
338.1999874999999,-365.1299999999999
337.9599783999999,-365.3159999999999
337.71996569999993,-365.5019999999999
337.47994880000005,-365.688
337.2399271,-365.874
336.9999,-366.06
336.7598669,-366.246
336.51982719999995,-366.432
336.27978029999997,-366.61799999999994
336.0397256,-366.804
335.79966249999995,-366.9899999999999
335.5595904,-367.176
335.3195087,-367.3619999999999
335.07941680000005,-367.548
334.8393141,-367.73400000000004
334.59920000000005,-367.9200000000001
334.35907390000006,-368.106
334.1189352,-368.292
333.8787833,-368.47799999999995
333.6386176,-368.664
333.39843749999994,-368.84999999999997
333.1582424,-369.03599999999994
332.9180316999999,-369.222
332.6778048,-369.408
332.4375611,-369.59399999999994
332.19729999999987,-369.7799999999999
331.9570208999999,-369.96599999999995
331.71672319999993,-370.15199999999993
331.4764062999999,-370.33799999999997
331.2360695999999,-370.5239999999999
330.99571249999997,-370.71
330.7553344,-370.896
330.51493469999997,-371.08199999999994
330.27451279999997,-371.268
330.03406809999996,-371.45399999999995
329.79359999999997,-371.64000000000004
329.5531079,-371.826
329.31259120000004,-372.012
329.0720493,-372.19800000000004
328.8314816,-372.384
328.59088750000006,-372.57000000000005
328.3502664,-372.75600000000003
328.10961769999994,-372.94199999999995
327.8689408,-373.12800000000004
327.6282351,-373.31399999999996
327.38749999999993,-373.5
327.14673489999996,-373.686
326.9059392,-373.87199999999996
326.6651123,-374.05800000000005
326.42425359999993,-374.2439999999999
326.1833625,-374.42999999999995
325.9424384,-374.616
325.7014807,-374.80199999999996
325.4604888,-374.98799999999994
325.21946209999993,-375.174
324.97839999999997,-375.36
324.7373018999999,-375.546
324.49616719999995,-375.732
324.25499529999996,-375.918
324.0137856,-376.10400000000004
323.7725375,-376.28999999999996
323.5312504,-376.476
323.2899237,-376.662
323.0485568,-376.848
322.80714909999995,-377.034
322.5657,-377.2199999999999
322.3242089,-377.40599999999995
322.0826752,-377.592
321.84109829999994,-377.77799999999996
321.5994776,-377.964
321.35781249999997,-378.15
321.11610239999993,-378.336
320.87434669999993,-378.52199999999993
320.63254479999995,-378.70799999999997
320.39069609999996,-378.894
320.1488,-379.08000000000004
319.9068559,-379.26599999999996
319.66486319999996,-379.452
319.4228213,-379.638
319.18072959999995,-379.82399999999996
318.9385874999999,-380.01
318.6963944,-380.19599999999997
318.45414969999996,-380.382
318.2118528,-380.568
317.9695031,-380.754
317.72709999999995,-380.94
317.4846429,-381.126
317.24213119999996,-381.312
316.9995643,-381.498
316.75694159999995,-381.684
316.5142625,-381.87
316.27152639999997,-382.056
316.0287327,-382.2420000000001
315.7858808,-382.428
315.5429701,-382.61400000000003
315.29999999999995,-382.8
