X,Y
227.0,-545.8
227.07241820000002,-545.7820321999999
227.1456656,-545.7641375999998
227.2197314,-545.7463293999999
227.29460479999997,-545.7286207999998
227.37027499999996,-545.7110249999998
227.44673119999996,-545.6935552
227.5239626,-545.6762245999998
227.6019584,-545.6590464
227.68070780000005,-545.6420338
227.76020000000005,-545.6252000000001
227.84042420000003,-545.6085582
227.9213696,-545.5921215999999
228.00302539999998,-545.5759034
228.0853808,-545.5599168
228.16842499999996,-545.5441749999999
228.2521472,-545.5286911999999
228.3365366,-545.5134786
228.4215824,-545.4985504
228.50727380000004,-545.4839198
228.59360000000007,-545.4696
228.68055020000003,-545.4556041999999
228.76811360000002,-545.4419455999999
228.8562794,-545.4286373999998
228.9450368,-545.4156928
229.03437499999998,-545.4031249999999
229.12428319999998,-545.3909471999999
229.21475059999997,-545.3791726
229.3057664,-545.3678143999999
229.39731979999993,-545.3568857999999
229.48939999999996,-545.3463999999998
229.58199619999996,-545.3363701999998
229.6750976,-545.3268095999999
229.76869339999996,-545.3177313999998
229.86277279999993,-545.3091487999999
229.957325,-545.301075
230.05233920000003,-545.2935232
230.14780460000003,-545.2865065999998
230.24371039999997,-545.2800384
230.3400458,-545.2741318
230.43680000000006,-545.2688
230.53396220000005,-545.2640561999999
230.6315216,-545.2599136
230.7294674,-545.2563854
230.8277888,-545.2534848
230.92647500000004,-545.2512250000001
231.0255152,-545.2496192
231.1248986,-545.2486806
231.2246144,-545.2484224
231.32465179999997,-545.2488578
231.42499999999998,-545.25
231.52564819999998,-545.2518621999999
231.6265856,-545.2544575999999
231.7278014,-545.2577994
231.82928479999998,-545.2619007999999
231.931025,-545.266775
232.03301120000003,-545.2724351999999
232.1352326,-545.2788946
232.2376784,-545.2861664
232.3403378,-545.2942638
232.4432,-545.3032
232.54625419999996,-545.3129881999998
232.64948959999998,-545.3236416
232.75289539999997,-545.3351733999999
232.8564608,-545.3475968
232.960175,-545.360925
233.0640272,-545.3751712
233.1680066,-545.3903485999999
233.2721024,-545.4064704
233.3763038,-545.4235497999999
233.48059999999998,-545.4415999999999
233.5849802,-545.4606342
233.68943359999997,-545.4806656
233.79394939999997,-545.5017073999999
233.89851679999998,-545.5237728
234.003125,-545.546875
234.1077632,-545.5710271999999
234.21242059999997,-545.5962425999999
234.3170864,-545.6225344
234.4217498,-545.6499158
234.52640000000002,-545.6784
234.63102619999998,-545.7080002
234.73561759999998,-545.7387295999999
234.8401634,-545.7706014
234.94465279999997,-545.8036287999998
235.04907499999996,-545.837825
235.15341919999997,-545.8732032
235.25767459999997,-545.9097766
235.36183039999997,-545.9475583999999
235.46587580000002,-545.9865618
235.5698,-546.0268000000001
235.67359219999997,-546.0682862
235.7772416,-546.1110335999999
235.8807374,-546.1550553999999
235.9840688,-546.2003648
236.08722500000002,-546.246975
236.19019519999998,-546.2948991999999
236.2929686,-546.3441506
236.3955344,-546.3947423999999
236.49788180000002,-546.4466878
236.6,-546.5
236.6,-546.5
236.65373240000002,-546.5300615
236.70693919999997,-546.5602519999999
236.75963480000001,-546.5905805
236.81183359999994,-546.621056
236.86355,-546.6516874999999
236.91479839999994,-546.6824839999999
236.96559319999997,-546.7134544999999
237.01594880000002,-546.7446080000001
237.06587960000002,-546.7759535
237.1154,-546.8075
237.1645244,-546.8392565
237.21326720000002,-546.871232
237.26164279999998,-546.9034354999999
237.3096656,-546.935876
237.35734999999997,-546.9685625
237.40471039999997,-547.001504
237.45176119999996,-547.0347095
237.4985168,-547.0681880000001
237.54499160000003,-547.1019485
237.59120000000007,-547.1360000000001
237.6371564,-547.1703515
237.6828752,-547.205012
237.7283708,-547.2399905000001
237.7736576,-547.275296
237.81875000000002,-547.3109375
237.86366239999998,-547.3469240000001
237.90840919999997,-547.3832645
237.9530048,-547.419968
237.99746359999995,-547.4570434999999
238.04179999999997,-547.4944999999998
238.08602839999995,-547.5323465
238.13016319999997,-547.5705919999999
238.17421879999995,-547.6092454999998
238.21820959999994,-547.6483159999999
238.26215,-547.6878125000001
238.30605440000002,-547.727744
238.3499372,-547.7681195
238.3938128,-547.808948
238.43769559999998,-547.8502384999999
238.48160000000004,-547.892
238.52554040000004,-547.9342415000001
238.56953120000003,-547.976972
238.61358680000004,-548.0202005000001
238.65772160000003,-548.063936
238.70195000000004,-548.1081875000001
238.74628640000003,-548.1529640000001
238.79074519999998,-548.1982745
238.8353408,-548.244128
238.8800876,-548.2905335
238.925,-548.3375000000001
238.9700924,-548.3850365
239.0153792,-548.4331520000001
239.06087480000002,-548.4818555
239.10659359999997,-548.531156
239.15255,-548.5810625
239.19875839999997,-548.631584
239.2452332,-548.6827295
239.2919888,-548.734508
