X,Y
164.0,-464.7
163.75997020000003,-464.88599999999997
163.51988159999996,-465.07199999999995
163.2797354,-465.2579999999999
163.0395328,-465.4439999999999
162.79927499999997,-465.62999999999994
162.55896319999997,-465.816
162.31859859999997,-466.0019999999999
162.0781824,-466.188
161.83771580000004,-466.3740000000001
161.59720000000002,-466.56000000000006
161.3566362,-466.74600000000004
161.1160256,-466.932
160.87536939999998,-467.11800000000005
160.63466880000001,-467.304
160.39392499999997,-467.48999999999995
160.15313919999997,-467.67599999999993
159.9123126,-467.86199999999997
159.6714464,-468.04800000000006
159.43054180000001,-468.23400000000004
159.18960000000004,-468.4200000000001
158.94862220000002,-468.60600000000005
158.7076096,-468.79200000000003
158.4665634,-468.97800000000007
158.2254848,-469.16400000000004
157.984375,-469.34999999999997
157.74323519999996,-469.53599999999994
157.5020666,-469.722
157.2608704,-469.908
157.01964779999997,-470.09399999999994
156.77839999999998,-470.2799999999999
156.53712819999996,-470.4659999999999
156.29583359999998,-470.652
156.05451739999998,-470.8379999999999
155.8131808,-471.02399999999994
155.571825,-471.21000000000004
155.33045120000003,-471.39599999999996
155.0890606,-471.582
154.8476544,-471.7679999999999
154.60623379999998,-471.95399999999995
154.3648,-472.14
154.12335420000002,-472.326
153.88189760000003,-472.51200000000006
153.6404314,-472.6980000000001
153.39895680000004,-472.884
153.15747500000003,-473.07000000000005
152.91598720000002,-473.2560000000001
152.6744946,-473.442
152.4329984,-473.628
152.19149980000003,-473.8139999999999
151.95000000000002,-474.0
151.7085002,-474.186
151.4670016,-474.37200000000007
151.2255054,-474.558
150.98401279999996,-474.7439999999999
150.74252500000003,-474.93
150.5010432,-475.116
150.2595686,-475.30199999999996
150.01810240000003,-475.488
149.77664579999998,-475.674
149.5352,-475.86
149.2937662,-476.04599999999994
149.0523456,-476.23199999999997
148.8109394,-476.41799999999995
148.5695488,-476.604
148.32817500000002,-476.79
148.0868192,-476.976
147.8454826,-477.1619999999999
147.6041664,-477.348
147.3628718,-477.534
147.1216,-477.71999999999997
146.8803522,-477.906
146.6391296,-478.092
146.3979334,-478.2779999999999
146.15676480000002,-478.464
145.915625,-478.65
145.6745152,-478.83599999999996
145.4334366,-479.02199999999993
145.19239040000002,-479.20799999999997
144.95137780000002,-479.394
144.71040000000002,-479.58000000000004
144.4694582,-479.76599999999996
144.2285536,-479.95199999999994
143.9876874,-480.138
143.74686079999998,-480.32399999999996
143.506075,-480.51
143.2653312,-480.69599999999997
143.0246306,-480.882
142.7839744,-481.068
142.5433638,-481.254
142.3028,-481.44
142.06228420000002,-481.626
141.8218176,-481.81199999999995
141.5814014,-481.998
141.3410368,-482.18399999999997
141.100725,-482.37
140.8604672,-482.556
140.6202646,-482.7420000000001
140.3801184,-482.92799999999994
140.1400298,-483.11400000000003
139.9,-483.3
